title,author,release_date,arxiv_url,arxiv_num
An improved synthetic signal injection routine for HAYSTAC,"Yuqi Zhu, M. J. Jewell, Claire Laffan, Xiran Bai, Sumita Ghosh, Eleanor Graham, S. B. Cahn, Reina H. Maruyama, S. K. Lamoreaux",1-December-2022,https://arxiv.org/abs/2212.00732,221200732
Universality of the Weinberg theorem using helicity constraints,"Valimbavaka F. Rabearinoro, Andriniaina N. Rasoanaivo, Roland Raboanary",1-December-2022,https://arxiv.org/abs/2212.00722,221200722
"High fusion computers: The IoTs, edges, data centers, and humans-in-the-loop as a computer","Wanling Gao, Lei Wang, Mingyu Chen, Jin Xiong, Chunjie Luo, Wenli Zhang, Yunyou Huang, Weiping Li, Guoxin Kang, Chen Zheng, Biwei Xie, Shaopeng Dai, Qian He, Hainan Ye, Yungang Bao, Jianfeng Zhan",18-November-2022,https://arxiv.org/abs/2212.00721,221200721
ML framework for global river flood predictions based on the Caravan dataset,"Ioanna Bouri, Manu Lahariya, Omer Nivron, Enrique Portales Julia, Dietmar Backes, Piotr Bilinski, Guy Schumann",14-November-2022,https://arxiv.org/abs/2212.00719,221200719
Direct Numerical Simulation of Turbulent Open Channel Flow,Christian Bauer,20-October-2022,https://arxiv.org/abs/2212.00718,221200718
Excess shear force exerted on oscillating plate due to a nearby particle,"Itzhak Fouxon, Boris Rubinstein, Alexander M. Leshansky",19-October-2022,https://arxiv.org/abs/2212.00717,221200717
Using Gradient to Boost the Generalization Performance of Deep Learning Models for Fluid Dynamics,Eduardo Vital Brasil,9-October-2022,https://arxiv.org/abs/2212.00716,221200716
SMEFT truncation effects in Higgs boson pair production at NLO QCD,"Gudrun Heinrich, Jannis Lang",1-December-2022,https://arxiv.org/abs/2212.00711,221200711
Emergent gravity from the IIB matrix model and cancellation of a cosmological constant,F. R. Klinkhamer,1-December-2022,https://arxiv.org/abs/2212.00709,221200709
The spectral form of the functional model for maximally dissipative operators: A Lagrange identity approach,"B. Malcolm Brown, Marco Marletta, Sergey Naboko, Ian Wood",1-December-2022,https://arxiv.org/abs/2212.00708,221200708
Emergent Symmetry in Frustrated Magnets: From Deconfined Quantum Critical Point to Gapless Quantum Spin Liquid,"Wen-Yuan Liu, Shou-Shu Gong, Wei-Qiang Chen, Zheng-Cheng Gu",1-December-2022,https://arxiv.org/abs/2212.00707,221200707
Inertial evolution of non-linear viscoelastic solids in the face of (self-)collision,"Antonín Češík, Giovanni Gravina, Malte Kampschulte",1-December-2022,https://arxiv.org/abs/2212.00705,221200705
Tensor category $KL_k(\mathfrak{sl}_{2n})$ via minimal affine $W$-algebras at the non-admissible level $k =-\frac{2n+1}{2}$,"Drazen Adamovic, Thomas Creutzig, Ozren Perse, Ivana Vukorepa",1-December-2022,https://arxiv.org/abs/2212.00704,221200704
Bespoke Pulse Design for Robust Rapid Two-Qubit Gates with Trapped Ions,"Seyed Shakib Vedaie, Eduardo J. Páez, Nhung H. Nguyen, Norbert M. Linke, Barry C. Sanders",1-December-2022,https://arxiv.org/abs/2212.00702,221200702
Long-time equilibration can determine transient thermality,"Karen V. Hovhannisyan, Somayyeh Nemati, Carsten Henkel, Janet Anders",1-December-2022,https://arxiv.org/abs/2212.00698,221200698
Transmission in graphene through tilted barrier in laser field,"Rachid El Aitouni, Miloud Mekkaoui, Ahmed Jellal",1-December-2022,https://arxiv.org/abs/2212.00694,221200694
Supergravity model of the Haldane-Rezayi fractional quantum Hall state,"Dung Xuan Nguyen, Kartik Prabhu, Ajit C. Balram, Andrey Gromov",1-December-2022,https://arxiv.org/abs/2212.00686,221200686
Shining light on data: Geometric data analysis through quantum dynamics,"Akshat Kumar, Mohan Sarovar",1-December-2022,https://arxiv.org/abs/2212.00682,221200682
The equilibrium shape of (65) Cybele: primordial or relic of a large impact?,"M. Marsset, M. Brož, J. Vermersch, N. Rambaux, M. Ferrais, M. Viikinkoski, J. Hanuš, E. Jehin, E. Podlewska-Gaca, P. Bartczak, G. Dudzinski, B. Carry, P. Vernazza, R. Szakáts, R. Duffard, A. Jones, D. Molina, T. Santana-Ros, Z. Benkhaldoun, M. Birlan, C. Dumas, R. Fétick, T. Fusco, L. Jorda, F. Marchis",1-December-2022,https://arxiv.org/abs/2212.00680,221200680
Formal Controller Synthesis for Markov Jump Linear Systems with Uncertain Dynamics,"Luke Rickard, Thom Badings, Licio Romao, Nils Jansen, Alessandro Abate",1-December-2022,https://arxiv.org/abs/2212.00679,221200679
Quantum circuit fidelity estimation using machine learning,"Avi Vadali, Rutuja Kshirsagar, Prasanth Shyamsundar, Gabriel N. Perdue",1-December-2022,https://arxiv.org/abs/2212.00677,221200677
A quantum mechanics for magnetic horizons,"Francesco Benini, Saman Soltani, Ziruo Zhang",1-December-2022,https://arxiv.org/abs/2212.00672,221200672
A consistent quantum field theory from dimensional reduction,"Alessio Maiezza, Juan Carlos Vasquez",1-December-2022,https://arxiv.org/abs/2212.00670,221200670
A POMDP Model for Safe Geological Carbon Sequestration,"Anthony Corso, Yizheng Wang, Markus Zechner, Jef Caers, Mykel J. Kochenderfer",24-October-2022,https://arxiv.org/abs/2212.00669,221200669
,"Laura Zichi, Tianci Liu, Elizabeth Drueke, Liuyan Zhao, Gongjun Xu",1-December-2022,https://arxiv.org/abs/2212.00667,221200667
Spatiotemporal control of active topological defects,"Suraj Shankar, Luca V. D. Scharrer, Mark J. Bowick, M. Cristina Marchetti",1-December-2022,https://arxiv.org/abs/2212.00666,221200666
Measurement of exclusive pion pair production in proton-proton collisions at $\sqrt{s}=$7 TeV with the ATLAS detector, ATLAS Collaboration,1-December-2022,https://arxiv.org/abs/2212.00664,221200664
Multispecies structure-preserving particle discretization of the Landau collision operator,"Filippo Zonta, Joseph V. Pusztay, Eero Hirvijoki",1-December-2022,https://arxiv.org/abs/2212.00663,221200663
Hybrid Gate-Pulse Model for Variational Quantum Algorithms,"Zhiding Liang, Zhixin Song, Jinglei Cheng, Zichang He, Ji Liu, Hanrui Wang, Ruiyang Qin, Yiru Wang, Song Han, Xuehai Qian, Yiyu Shi",1-December-2022,https://arxiv.org/abs/2212.00661,221200661
Proximity superconductivity in atom-by-atom crafted quantum dots,"Lucas Schneider, Khai That Ton, Ioannis Ioannidis, Jannis Neuhaus-Steinmetz, Thore Posske, Roland Wiesendanger, Jens Wiebe",1-December-2022,https://arxiv.org/abs/2212.00657,221200657
Polarized radio emission unveils the structure of the pre-supernova circumstellar magnetic field and the radio emission in SN1987A,"O. Petruk, V. Beshley, S. Orlando, F. Bocchino, M. Miceli, S. Nagataki, M. Ono, S. Loru, A. Pellizzoni, E. Egron",1-December-2022,https://arxiv.org/abs/2212.00656,221200656
Accessing chiral-even quark generalised parton distributions in the exclusive photoproduction of a $ γπ^{\pm} $ pair with large invariant mass in both fixed-target and collider experiments,"Goran Duplančić, Saad Nabeebaccus, Kornelija Passek-Kumerički, Bernard Pire, Lech Szymanowski, Samuel Wallon",1-December-2022,https://arxiv.org/abs/2212.00655,221200655
At the threshold of distributed Kerr-lens mode-locking in a Cr:ZnS waveguide laser,"Maksim Demesh, Vladimir Kalashnikov, Evgeni Sorokin, Natali Gusakova, Alexander Rudenkov, Irina T. Sorokina",1-December-2022,https://arxiv.org/abs/2212.00652,221200652
Thermodynamics of quantum information in noisy polarizers,"Maxwell Aifer, Nathan Myers, Sebastian Deffner",1-December-2022,https://arxiv.org/abs/2212.00651,221200651
One-shot recognition of any material anywhere using contrastive learning with ,"Manuel S. Drehwald, Sagi Eppel, Jolina Li, Han Hao, Alan Aspuru-Guzik",1-December-2022,https://arxiv.org/abs/2212.00648,221200648
An Edge Alignment-based Orientation Selection Method for Neutron Tomography,"Diyu Yang, Shimin Tang, Singanallur V. Venkatakrishnan, Mohammad S. N. Chowdhury, Yuxuan Zhang, Hassina Z. Bilheux, Gregery T. Buzzard, Charles A. Bouman",1-December-2022,https://arxiv.org/abs/2212.00647,221200647
Non-empirical mixing coefficient for hybrid XC functionals from analysis of the XC kernel,"Zhandos A. Moldabekov, Mani Lokamani, Jan Vorberger, Attila Cangi, Tobias Dornheim",1-December-2022,https://arxiv.org/abs/2212.00644,221200644
Electromagnetic Generalized Quasi-topological gravities in $(2 + 1)$ dimensions,"Pablo Bueno, Pablo A. Cano, Javier Moreno, Guido van der Velde",1-December-2022,https://arxiv.org/abs/2212.00637,221200637
"An insight into the properties of ATiO3 (A=Ti,Sr) materials for photovoltaic applications","Lynet Allan, Robinson Musembi, Julius Mwabora",1-December-2022,https://arxiv.org/abs/2212.00635,221200635
Discrete Element Simulations and Machine Learning for Improving the Performance of Dry Catalyst Continuous Impregnation Processes,"Joseph Shovlin, Kuang Liu, Yangyang Shen, Bill Borghard, Hernan A. Makse, Maria S. Tomassone",1-December-2022,https://arxiv.org/abs/2212.00634,221200634
Understanding the $0^{++}$ and $2^{++}$ charmonium(-like) states near 3.9 GeV,"Teng Ji, Xiang-Kun Dong, Miguel Albaladejo, Meng-Lin Du, Feng-Kun Guo, Juan Nieves, Bing-Song Zou",1-December-2022,https://arxiv.org/abs/2212.00631,221200631
Fast Optomechanical Photon Blockade,"Yuxun Ling, Sofia Qvarfort, Florian Mintert",1-December-2022,https://arxiv.org/abs/2212.00628,221200628
Direct observations of rising oil droplets deformed by hydrocarbonoclastic bacteria,"Vincent Hickl, Hima Hrithik Pamu, Gabriel Juarez",1-December-2022,https://arxiv.org/abs/2212.00627,221200627
A route to extreme peak power and energy scaling in the mid-IR chirped-pulse oscillator-amplifier laser systems,"Alexander Rudenkov, Vladimir L. Kalashnikov, Evgeni Sorokin, Maksim Demesh, Irina T. Sorokina",1-December-2022,https://arxiv.org/abs/2212.00626,221200626
Probabilistic Neural Circuits leveraging AI-Enhanced Codesign for Random Number Generation,"Suma G. Cardwell, Catherine D. Schuman, J. Darby Smith, Karan Patel, Jaesuk Kwon, Samuel Liu, Christopher Allemang, Shashank Misra, Jean Anne Incorvia, James B. Aimone",1-December-2022,https://arxiv.org/abs/2212.00625,221200625
Automated Quantum Software Engineering: why? what? how?,Aritra Sarkar,1-December-2022,https://arxiv.org/abs/2212.00619,221200619
"Modern Tensor-Spinor Symbolic Algebra Algorithms and Computing Non-Closure Geometry & Holoraumy in 11D, N = 1 Supergravity","S. James Gates Jr., Isaiah B. Hilsenrath, Saul Hilsenrath",1-December-2022,https://arxiv.org/abs/2212.00614,221200614
The special Two zeros texture based on $A_4$ symmetry and perturbation method,N. Razzaghi,1-December-2022,https://arxiv.org/abs/2212.00609,221200609
Symmetry of open quantum systems: Classification of dissipative quantum chaos,"Kohei Kawabata, Anish Kulkarni, Jiachen Li, Tokiro Numasawa, Shinsei Ryu",1-December-2022,https://arxiv.org/abs/2212.00605,221200605
Plug-and-Play Secondary Control for Safety of LTI Systems under Attacks,"Yankai Lin, Michelle S. Chong, Carlos Murguia",1-December-2022,https://arxiv.org/abs/2212.00593,221200593
A home-lab to study uncertainties using smartphone sensors and determine the optimal number of measurements,"Martin Monteiro, Cecilia Stari, Arturo C. Marti",1-December-2022,https://arxiv.org/abs/2212.00590,221200590
"Equivalence of metric gluing and conformal welding in $γ$-Liouville quantum gravity for $γ\in (0,2)$","Liam Hughes, Jason Miller",1-December-2022,https://arxiv.org/abs/2212.00589,221200589
Black hole to cosmic horizon microstates in string/M theory: timelike boundaries and internal averaging,Eva Silverstein,1-December-2022,https://arxiv.org/abs/2212.00588,221200588
A generating-function approach to modelling complex contagion on clustered networks with multi-type branching processes,"Leah A. Keating, James P. Gleeson, David J. P. O'Sullivan",1-December-2022,https://arxiv.org/abs/2212.00584,221200584
Patterned Random Matrices: deviations from universality,"Md. Sabir Ali, Shashi C. L. Srivastava",29-November-2022,https://arxiv.org/abs/2212.00583,221200583
Numerical simulation of two-component attractive Fermi gases based on parametrized partition function,"Yunuo Xiong, Hongwei Xiong",30-November-2022,https://arxiv.org/abs/2212.00580,221200580
Weyl Metal Phase in Delafossite Oxide PtNiO$_2$,"Gang Bahadur Acharya, Mohan Bikram Neupane, Rojila Ghimire, Madhav Prasad Ghimire",1-December-2022,https://arxiv.org/abs/2212.00579,221200579
Calculation of the near threshold photoabsorption for the ground and excited sodium states,Constantine E. Theodosiou,1-December-2022,https://arxiv.org/abs/2212.00577,221200577
Quantum Neural Networks for a Supply Chain Logistics Application,"Randall Correll, Sean J. Weinberg, Fabio Sanches, Takanori Ide, Takafumi Suzuki",30-November-2022,https://arxiv.org/abs/2212.00576,221200576
A perspective on the use of health digital twins in computational pathology,Manuel Cossio,30-November-2022,https://arxiv.org/abs/2212.00573,221200573
Measurement of the inclusive $t\bar{t}$ production cross section in the lepton+jets channel in $pp$ collisions at $\sqrt{s}$= 7 TeV with the ATLAS detector using support vector machines, ATLAS Collaboration,1-December-2022,https://arxiv.org/abs/2212.00571,221200571
Perspectives and insight toward solving flaws of vegetation indices,"A. Khaliduzzaman, S. Yamamoto, Y. Nishimura",1-December-2022,https://arxiv.org/abs/2212.00569,221200569
Beyond lepton number violation at the HL-LHC: Resolving heavy neutrino-antineutrino oscillations,"Stefan Antusch, Jan Hajer, Johannes Rosskopp",1-December-2022,https://arxiv.org/abs/2212.00562,221200562
Thermal regularization of t-channel singularities in cosmology and particle ,Michal Iglicki,1-December-2022,https://arxiv.org/abs/2212.00561,221200561
Axion minivoids and implications for direct detection,"Benedikt Eggemeier, Ciaran A. J. O'Hare, Giovanni Pierobon, Javier Redondo, Yvonne Y. Y. Wong",1-December-2022,https://arxiv.org/abs/2212.00560,221200560
Quantum Targeted Energy Transfer through Machine Learning Tools,"I. Andronis, G. Arapantonis, G. D. Barmparis, G. P. Tsironis",1-December-2022,https://arxiv.org/abs/2212.00556,221200556
"Classical-Quantum Combs, their Min-Entropy and their Measurement-Based Applications","Isaac D. Smith, Marius Krumm, Lukas J. Fiderer, Hendrik Poulsen Nautrup, Hans J. Briegel",1-December-2022,https://arxiv.org/abs/2212.00553,221200553
Noval Si-C Compounds with High Thermal Conductivity under TPa in Planetary Interior,"Yunlong Wang, Jian Sun",1-December-2022,https://arxiv.org/abs/2212.00551,221200551
Reflections on reflections,"Kuan-Nan Lin, Pisin Chen",1-December-2022,https://arxiv.org/abs/2212.00550,221200550
Electric Field Tunable Band Gap in Commensurate Twisted Bilayer Graphene,"Spenser Talkington, Eugene J. Mele",1-December-2022,https://arxiv.org/abs/2212.00549,221200549
Quantum walk based state transfer algorithms on the complete M-partite graph,"Stanislav Skoupy, Martin Stefanak",1-December-2022,https://arxiv.org/abs/2212.00546,221200546
Experimental realization of a three-photon asymmetric maximally entangled state and its application to quantum teleportation,"Linxiang Zhou, Qiao Xu, Tianfeng Feng, Xiaoqi Zhou",1-December-2022,https://arxiv.org/abs/2212.00545,221200545
Predictive Sampling: Real-time Behaviour Synthesis with MuJoCo,"Taylor Howell, Nimrod Gileadi, Saran Tunyasuvunakool, Kevin Zakka, Tom Erez, Yuval Tassa",1-December-2022,https://arxiv.org/abs/2212.00541,221200541
Monitored Recurrence of a One-parameter Family of Three-state Quantum Walks,Martin Stefanak,1-December-2022,https://arxiv.org/abs/2212.00540,221200540
NLO QCD corrections and off-shell effects for $t\bar{t}H$ production in the Higgs characterisation model,Jonathan Hermann,1-December-2022,https://arxiv.org/abs/2212.00538,221200538
On the geometry of uniform meandric systems,"Jacopo Borga, Ewain Gwynne, Minjae Park",1-December-2022,https://arxiv.org/abs/2212.00534,221200534
Synergy between CSST galaxy survey and gravitational-wave observation: Inferring the Hubble constant from dark standard sirens,"Ji-Yu Song, Ling-Feng Wang, Yichao Li, Ze-Wei Zhao, Jing-Fei Zhang, Wen Zhao, Xin Zhang",1-December-2022,https://arxiv.org/abs/2212.00531,221200531
Accelerating ,"Linlin Zhong, Bingyu Wu, Yifan Wang",1-December-2022,https://arxiv.org/abs/2212.00530,221200530
Numerical simulations of inflationary dynamics: slow-roll and beyond,"Siddharth S. Bhatt, Swagat S. Mishra, Soumen Basak, Surya N. Sahoo",1-December-2022,https://arxiv.org/abs/2212.00529,221200529
The complex elliptic Ginibre ensemble at weak non-Hermiticity: bulk spacing distributions,"Thomas Bothner, Alex Little",1-December-2022,https://arxiv.org/abs/2212.00525,221200525
Hydrogen-Atom Electronic Basis Sets for Multicomponent Quantum Chemistry,"Irina Samsonova, Gabrielle B. Tucker, Naresh Alaal, Kurt R. Brorsen",1-December-2022,https://arxiv.org/abs/2212.00520,221200520
Efficient implementation and performance analysis of the independent electron surface hopping method for dynamics at metal surfaces,"James Gardner, Daniel Corken, Svenja M. Janke, Scott Habershon, Reinhard J. Maurer",1-December-2022,https://arxiv.org/abs/2212.00518,221200518
Suppressing unwanted fluctuations in QAOA and approximate quantum annealing,"Touheed Anwar Atif, Catherine Potts, David Haycraft, Raouf Dridi, Nicholas Chancellor",1-December-2022,https://arxiv.org/abs/2212.00515,221200515
S-Dual of Maxwell Chern-Simons Theory,Adi Armoni,1-December-2022,https://arxiv.org/abs/2212.00513,221200513
Hot and Cold QCD White Paper from ALICE-USA: Input for 2023 U.S. Long Range Plan for Nuclear Science,"N. Alizadehvandchali, N. Apadula, M. Arslandok, C. Beattie, R. Bellwied, J. T. Blair, F. Bock, H. Bossi, A. Bylinkin, H. Caines, I. Chakaberia, M. Cherney, T. M. Cormier, R. Cruz-Torres, P. Dhankher, D. U. Dixit, R. J. Ehlers, W. Fan, M. Fasel, F. Flor, A. N. Flores, D. R. Gangadharan, E. Garcia-Solis, A. Gautam, E. Glimos",1-December-2022,https://arxiv.org/abs/2212.00512,221200512
Recent CMS results on exotic resonances,"Jingqing Zhang, Kai Yi",1-December-2022,https://arxiv.org/abs/2212.00504,221200504
"Cellular Automata Model for Non-Structural Proteins Comparing Transmissibility and Pathogenesis of SARS Covid (CoV-2, CoV) and MERS Covid","Raju Hazari, Parimal Pal Chaudhuri",25-November-2022,https://arxiv.org/abs/2212.00502,221200502
The eOSSR library,"Thomas Vuillaume, Enrique Garcia, Christian Tacke, Tamas Gal",30-November-2022,https://arxiv.org/abs/2212.00499,221200499
HIKE: High Intensity Kaon Experiments at the CERN SPS,Matthew Moulson,1-December-2022,https://arxiv.org/abs/2212.00498,221200498
Transport coefficients of heavy mesons in a thermal medium,Juan M. Torres-Rincon,1-December-2022,https://arxiv.org/abs/2212.00493,221200493
How droplets dry on stretched soft substrates,"Yixuan Du, Elmar Bonaccurso, Jianwei Guo, Kai Uhlig, Longquan Chen, Binyu Zhao, Günter K. Auernhammer",1-December-2022,https://arxiv.org/abs/2212.00485,221200485
"A Survey of Mobile Edge Computing for the Metaverse: Architectures, Applications, and Challenges","Yitong Wang, Jun Zhao",1-December-2022,https://arxiv.org/abs/2212.00481,221200481
Safe Learning-Based Control of Elastic Joint Robots via Control Barrier Functions,"Armin Lederer, Azra Begzadić, Neha Das, Sandra Hirche",1-December-2022,https://arxiv.org/abs/2212.00478,221200478
Slack-based tunable damping leads to a trade-off between robustness and efficiency in legged locomotion,"An Mo, Fabio Izzi, Emre Cemal Gönen, Daniel Haeufle, Alexander Badri-Spröwitz",1-December-2022,https://arxiv.org/abs/2212.00475,221200475
Symmetry Classification of Many-Body Lindbladians: Tenfold Way and Beyond,"Lucas Sá, Pedro Ribeiro, Tomaž Prosen",1-December-2022,https://arxiv.org/abs/2212.00474,221200474
Induced action for superconformal higher-spin multiplets using SCFT techniques,"Sergei M. Kuzenko, James La Fontaine, Michael Ponds",1-December-2022,https://arxiv.org/abs/2212.00468,221200468
A detailed investigation of W+c-jet at the LHC,"Michał Czakon, Alexander Mitov, Mathieu Pellen, Rene Poncelet",1-December-2022,https://arxiv.org/abs/2212.00467,221200467
Quantum vacuum effects on the formation of black holes,"Moslem Shafiee, Yousef Bahrampour",1-December-2022,https://arxiv.org/abs/2212.00466,221200466
Gravitational wave signatures of phase transition from hadronic to quark matter in isolated neutron stars and binaries,Ritam Mallick,1-December-2022,https://arxiv.org/abs/2212.00462,221200462
Polarity control by inversion domain suppression in N-polar III-nitride heterostructures,"Hengfang Zhang, Ingemar Persson, Jr. -Tai Chen, Alexis Papamichail, Dat Q. Tran, Per O. Å. Persson, Plamen P. Paskov, Vanya Darakchieva",1-December-2022,https://arxiv.org/abs/2212.00458,221200458
Warming inhibits Increases in Vegetation Net Primary Productivity despite Greening in India,"Ripan Das, Rajiv Kumar Chaturvedi, Adrija Roy, Subhankar Karmakar, Subimal Ghosh",1-December-2022,https://arxiv.org/abs/2212.00457,221200457
Active vector models generalizing 3D Euler and electron--MHD equations,"Dongho Chae, In-Jee Jeong",1-December-2022,https://arxiv.org/abs/2212.00456,221200456
The canonical BV Laplacian on half-densities,Alberto S. Cattaneo,1-December-2022,https://arxiv.org/abs/2212.00451,221200451
The relationship between the interdisciplinary activation of children's scientific concepts and their mastery of basic knowledges: a pre study based on reaction times,"Zhong Wang, Zhen Cui, Yi Zhang",1-December-2022,https://arxiv.org/abs/2212.00450,221200450
Density Functional Theory for two-dimensional homogeneous materials with magnetic fields,"David Gontier, Salma Lahbabi, Abdallah Maichine",1-December-2022,https://arxiv.org/abs/2212.00448,221200448
Localization of $U(1)$ gauge field by non-minimal coupling with gravity,"Zhen-Hua Zhao, Qun-Ying Xie, Chun-E. Fu, Xiang-Nan Zhou",1-December-2022,https://arxiv.org/abs/2212.00444,221200444
Photoionization detection of a single Er$^{3+}$ ion with sub-100-ns time resolution,"Yangbo Zhang, Wenda Fan, Jiliang Yang, Hao Guan, Qi Zhang, Xi Qin, Changkui Duan, Gabriele G. de Boo, Brett C. Johnson, Jeffrey C. McCallum, Matthew J. Sellars, Sven Rogge, Chunming Yin, Jiangfeng Du",1-December-2022,https://arxiv.org/abs/2212.00440,221200440
Measuring the fine structure constant on white dwarf surfaces; uncertainties from continuum placement variations,"Chung-Chi Lee, John K. Webb, Darren Dougan, Vladimir A. Dzuba, Victor V. Flambaum",1-December-2022,https://arxiv.org/abs/2212.00434,221200434
Micromechanical and numerical analysis of shape and packing effects in elastic-plastic particulate composites,M. Majewski,1-December-2022,https://arxiv.org/abs/2212.00432,221200432
What ,"Miroslav Mitev, Arsenia Chorti, H. V. Poor, Gerhard Fettweis",1-December-2022,https://arxiv.org/abs/2212.00427,221200427
Compact sub-Hz Linewidth Laser Enabled by Self Injection Lock To a Sub-mL FP Cavity,"Wei Liang, Yunfeng liu",1-December-2022,https://arxiv.org/abs/2212.00426,221200426
Stochastic Gravitational Waves from Post-inflationary Structure Formation,"Benedikt Eggemeier, Jens C. Niemeyer, Karsten Jedamzik, Richard Easther",1-December-2022,https://arxiv.org/abs/2212.00425,221200425
Evolutionary-based quantum architecture search,"Anqi Zhang, Shengmei Zhao",1-December-2022,https://arxiv.org/abs/2212.00421,221200421
Single-photon ionization of aligned H$_2^+$ with lower photon energy,"F. B. Zhang, J. Y. Che, W. Y. Li, C. Chen, Y. J. Chen",1-December-2022,https://arxiv.org/abs/2212.00420,221200420
Microscopic Optical Potentials: recent achievements and future perspectives,"P. Finelli, M. Vorabbi, C. Giusti",1-December-2022,https://arxiv.org/abs/2212.00417,221200417
Experimental investigation of free jets through supersonic nozzles,"Milaan Patel, Jinto Thomas, Hem Chandra Joshi",1-December-2022,https://arxiv.org/abs/2212.00416,221200416
The interior Backus problem: local resolution in Hölder spaces,"Toru Kan, Rolando Magnanini, Michiaki Onodera",1-December-2022,https://arxiv.org/abs/2212.00413,221200413
Assessing Quantum Thermalization in ,"Carlos F. Destefani, Xavier Oriols",1-December-2022,https://arxiv.org/abs/2212.00410,221200410
Ultraviolet and X-ray light-curves of novae observed by the Neil Gehrels Swift Observatory,"K. L. Page, N. P. M. Kuin, J. P. Osborne",1-December-2022,https://arxiv.org/abs/2212.00409,221200409
Spin noise spectroscopy of optical light shifts,"Joseph Delpy, Shikang Liu, Pascal Neveu, E Wu, Fabien Bretenaker, Fabienne Goldfarb",1-December-2022,https://arxiv.org/abs/2212.00401,221200401
