u_id,d_id,upload_date
862926,186,2022-10-02
321684,187,2022-10-24
506355,188,2022-11-28
381375,189,2022-11-19
74639,190,2022-08-04
695705,191,2022-11-03
790499,192,2022-11-02
948973,193,2022-06-10
481490,194,2022-10-27
925701,195,2022-10-12
443815,196,2022-02-25
356404,197,2022-03-24
718044,198,2022-08-23
696731,199,2022-11-09
756837,200,2022-11-28
34200,201,2022-08-20
780274,202,2022-07-14
546707,203,2022-08-03
410305,204,2022-01-27
905776,205,2022-04-13
904094,206,2022-03-24
362290,207,2022-08-25
662174,208,2022-07-01
73083,209,2022-03-29
707836,210,2022-04-24
989643,211,2022-06-05
735647,212,2022-06-22
279118,213,2022-06-16
999264,214,2022-09-06
748789,215,2022-06-07
35275,216,2022-06-20
983640,217,2022-07-03
531566,218,2022-10-22
119864,219,2022-09-09
193569,220,2022-07-05
655856,221,2022-11-14
135045,222,2022-11-08
424029,223,2022-08-09
244148,224,2022-04-16
891747,225,2022-08-09
525268,226,2022-02-12
98108,227,2022-11-10
148194,228,2022-08-18
266108,229,2022-01-07
278703,230,2022-12-20
410770,231,2022-08-09
865224,232,2022-01-13
828311,233,2022-09-15
460544,234,2022-07-10
942663,235,2022-07-10
247050,236,2022-12-20
778035,237,2022-02-26
70980,238,2022-08-04
665041,239,2022-05-20
713258,240,2022-02-20
817645,241,2022-12-09
339832,242,2022-09-29
123791,243,2022-10-13
724556,244,2022-06-04
903546,245,2022-01-29
965759,246,2022-12-10
638009,247,2022-10-19
35202,248,2022-05-21
681616,249,2022-07-29
690446,250,2022-08-18
773482,251,2022-01-17
476438,252,2022-04-24
329124,253,2022-12-23
723906,254,2022-10-07
913177,255,2022-09-26
225858,256,2022-07-13
717089,257,2022-01-08
292000,258,2022-12-07
609215,259,2022-02-08
454048,260,2022-04-18
381123,261,2022-01-01
279889,262,2022-05-06
403399,263,2022-10-01
4319,264,2022-09-26
783237,265,2022-07-18
450173,266,2022-03-28
125970,267,2022-10-10
45833,268,2022-01-04
835793,269,2022-12-02
26566,270,2022-10-29
311693,271,2022-10-06
816707,272,2022-09-09
150831,273,2022-09-01
451114,274,2022-02-25
660541,275,2022-08-26
995988,276,2022-03-28
907808,277,2022-01-16
826819,278,2022-02-22
378650,279,2022-07-06
817462,280,2022-05-12
400764,281,2022-08-08
316093,282,2022-08-24
653062,283,2022-09-14
651121,284,2022-03-11
515522,285,2022-02-18
370609,286,2022-12-09
519478,287,2022-04-10
459226,288,2022-07-28
426385,289,2022-05-16
310607,290,2022-05-22
359823,291,2022-08-23
252544,292,2022-10-07
454288,293,2022-07-10
270123,294,2022-09-05
456404,295,2022-11-12
222793,296,2022-04-19
539796,297,2022-01-05
389383,298,2022-08-20
979933,299,2022-03-23
849071,300,2022-08-18
137346,301,2022-02-18
736177,302,2022-05-17
478958,303,2022-10-21
478008,304,2022-01-10
212118,305,2022-06-10
799454,306,2022-06-13
911308,307,2022-10-27
100878,308,2022-06-18
488447,309,2022-06-25
977736,310,2022-09-03
391038,311,2022-03-03
269363,312,2022-03-02
616056,313,2022-12-06
8814,314,2022-12-17
793998,315,2022-04-03
457197,316,2022-02-25
276889,317,2022-06-06
73424,318,2022-07-08
331434,319,2022-08-19
390675,320,2022-09-28
444493,321,2022-06-15
654637,322,2022-12-08
939120,323,2022-05-21
315796,324,2022-05-05
729954,325,2022-03-14
321962,326,2022-10-27
266068,327,2022-11-04
971030,328,2022-01-15
253881,329,2022-01-02
391855,330,2022-01-03
996961,331,2022-06-29
542929,332,2022-09-18
370920,333,2022-03-16
52902,334,2022-06-05
214701,335,2022-10-15
730296,336,2022-09-24
994011,337,2022-10-22
710308,338,2022-11-26
686158,339,2022-06-17
34270,340,2022-02-25
22303,341,2022-12-12
526155,342,2022-04-15
151129,343,2022-08-26
589211,344,2022-12-19
890439,345,2022-09-26
255807,346,2022-08-17
154431,347,2022-06-24
48784,348,2022-02-08
577237,349,2022-03-08
433307,350,2022-02-26
585069,351,2022-03-11
448460,352,2022-06-08
962995,353,2022-09-09
863216,354,2022-07-04
840467,355,2022-02-03
167044,356,2022-12-08
559113,357,2022-08-16
589772,358,2022-11-07
427607,359,2022-02-03
554265,360,2022-03-12
893015,361,2022-02-05
86151,362,2022-11-15
279520,363,2022-08-04
474663,364,2022-06-08
594508,365,2022-07-23
929685,366,2022-10-02
555202,367,2022-01-27
806291,368,2022-04-21
895794,369,2022-02-12
914379,370,2022-01-22
975091,371,2022-10-12
192796,372,2022-01-02
213320,373,2022-06-15
572310,374,2022-06-15
878751,375,2022-10-16
832041,376,2022-12-10
855800,377,2022-08-21
733483,378,2022-08-11
165973,379,2022-09-15
867210,380,2022-09-14
60939,381,2022-12-19
718667,382,2022-11-29
253856,383,2022-11-14
685935,384,2022-03-12
469110,385,2022-06-07
667316,386,2022-03-06
570130,387,2022-01-05
357542,388,2022-08-06
128277,389,2022-06-11
838374,390,2022-08-11
401001,391,2022-05-26
237163,392,2022-10-29
362394,393,2022-12-16
235815,394,2022-03-16
950692,395,2022-09-03
580777,396,2022-05-10
239655,397,2022-12-30
258959,398,2022-04-09
961263,399,2022-02-15
9952,400,2022-08-17
461536,401,2022-12-13
196219,402,2022-08-23
590467,403,2022-05-24
396109,404,2022-05-25
508601,405,2022-09-02
687925,406,2022-08-14
80433,407,2022-11-29
943936,408,2022-10-01
421405,409,2022-02-30
644090,410,2022-09-12
239395,411,2022-12-12
334163,412,2022-05-21
81619,413,2022-10-09
330944,414,2022-12-24
458874,415,2022-02-13
89422,416,2022-11-25
442106,417,2022-08-03
193316,418,2022-10-06
288288,419,2022-07-17
337579,420,2022-04-01
12781,421,2022-09-04
323959,422,2022-03-29
422837,423,2022-04-24
245261,424,2022-05-23
342114,425,2022-11-26
672132,426,2022-06-08
208514,427,2022-06-17
273198,428,2022-05-18
878936,429,2022-07-17
35422,430,2022-05-04
418747,431,2022-06-15
59824,432,2022-03-23
663563,433,2022-08-27
252450,434,2022-09-19
776370,435,2022-01-22
583043,436,2022-02-09
916897,437,2022-06-28
545189,438,2022-11-15
164661,439,2022-11-16
249509,440,2022-03-19
296543,441,2022-08-17
20072,442,2022-08-25
682779,443,2022-08-01
364030,444,2022-03-12
205110,445,2022-03-20
198082,446,2022-11-24
202643,447,2022-08-28
98463,448,2022-12-07
526283,449,2022-06-15
865022,450,2022-12-02
869007,451,2022-08-27
937395,452,2022-12-18
660586,453,2022-07-04
282254,454,2022-01-21
577807,455,2022-07-29
526121,456,2022-08-16
615533,457,2022-05-11
577101,458,2022-08-02
891404,459,2022-10-13
301300,460,2022-03-10
300072,461,2022-03-04
768710,462,2022-08-08
961505,463,2022-05-15
389814,464,2022-03-01
589517,465,2022-05-30
407796,466,2022-08-21
339920,467,2022-08-12
973071,468,2022-03-03
569615,469,2022-01-22
130123,470,2022-05-07
911234,471,2022-12-10
319499,472,2022-11-29
804648,473,2022-03-10
338369,474,2022-11-27
609458,475,2022-03-19
893894,476,2022-02-03
16812,477,2022-08-08
740458,478,2022-02-09
82490,479,2022-05-30
593916,480,2022-04-09
282660,481,2022-05-08
908169,482,2022-01-21
602019,483,2022-04-21
742142,484,2022-02-09
162622,485,2022-07-07
43857,486,2022-06-19
461998,487,2022-03-30
651036,488,2022-02-03
247670,489,2022-06-29
287537,490,2022-10-10
377159,491,2022-07-22
264954,492,2022-11-05
130358,493,2022-06-19
294199,494,2022-02-25
98735,495,2022-06-16
433874,496,2022-07-25
27689,497,2022-09-14
875081,498,2022-10-11
666004,499,2022-01-11
713281,500,2022-07-29
367227,501,2022-04-05
252449,502,2022-10-14
908717,503,2022-09-02
453878,504,2022-01-18
56560,505,2022-06-30
684390,506,2022-05-11
427797,507,2022-06-23
897180,508,2022-03-26
78161,509,2022-01-25
856192,510,2022-07-15
324609,511,2022-08-28
496830,512,2022-06-10
173125,513,2022-08-12
420307,514,2022-09-11
482616,515,2022-02-21
543069,516,2022-06-26
819724,517,2022-03-23
680734,518,2022-11-28
616328,519,2022-01-20
481842,520,2022-08-08
830860,521,2022-08-29
362591,522,2022-05-22
487230,523,2022-01-06
296469,524,2022-09-18
823517,525,2022-05-30
665905,526,2022-01-17
178984,527,2022-11-29
271428,528,2022-12-25
877816,529,2022-04-19
540084,530,2022-11-20
934623,531,2022-10-05
255102,532,2022-11-10
777177,533,2022-02-18
267638,534,2022-11-04
513532,535,2022-09-08
259227,536,2022-06-27
351719,537,2022-03-30
379654,538,2022-10-16
678668,539,2022-09-20
608804,540,2022-04-07
969279,541,2022-02-15
664766,542,2022-06-09
607596,543,2022-08-25
503975,544,2022-01-14
870593,545,2022-02-11
824224,546,2022-10-04
385049,547,2022-06-28
6408,548,2022-04-19
771961,549,2022-06-12
10359,550,2022-06-28
591986,551,2022-04-29
601490,552,2022-10-25
820162,553,2022-09-27
467165,554,2022-03-27
500547,555,2022-12-16
523622,556,2022-04-28
595323,557,2022-07-21
755094,558,2022-12-24
638855,559,2022-09-02
264391,560,2022-01-25
616259,561,2022-04-23
756108,562,2022-05-24
603675,563,2022-07-18
987520,564,2022-07-09
143848,565,2022-10-23
659390,566,2022-08-28
893468,567,2022-11-05
150441,568,2022-02-27
248091,569,2022-12-25
507820,570,2022-12-15
496943,571,2022-04-10
231501,572,2022-05-24
37019,573,2022-08-18
162017,574,2022-01-10
796949,575,2022-09-09
319872,576,2022-02-08
770315,577,2022-07-29
453617,578,2022-04-10
789066,579,2022-07-06
968751,580,2022-01-03
860651,581,2022-07-24
97745,582,2022-02-22
199043,583,2022-04-03
464612,584,2022-08-17
964649,585,2022-11-04
734438,586,2022-01-08
999988,587,2022-04-22
563940,588,2022-10-08
967902,589,2022-05-18
667972,590,2022-11-13
167889,591,2022-12-01
584888,592,2022-10-23
611556,593,2022-02-20
317255,594,2022-04-06
244065,595,2022-02-13
547937,596,2022-11-19
297893,597,2022-09-06
979697,598,2022-02-17
719396,599,2022-07-04
328594,600,2022-03-20
97030,601,2022-08-30
661474,602,2022-06-24
148302,603,2022-06-25
587240,604,2022-03-08
883777,605,2022-04-05
190874,606,2022-07-01
93632,607,2022-08-17
890997,608,2022-12-21
458918,609,2022-02-10
704248,610,2022-01-09
355198,611,2022-02-13
149322,612,2022-06-22
209125,613,2022-04-28
735211,614,2022-11-04
909039,615,2022-02-21
761831,616,2022-02-08
503624,617,2022-02-01
787803,618,2022-01-24
137152,619,2022-11-10
180966,620,2022-06-21
633265,621,2022-02-12
734094,622,2022-03-28
331929,623,2022-11-03
466500,624,2022-11-06
266505,625,2022-09-10
118222,626,2022-11-10
119945,627,2022-08-03
30785,628,2022-04-01
655735,629,2022-05-10
711484,630,2022-09-27
7067,631,2022-05-18
541727,632,2022-06-16
187100,633,2022-02-04
459161,634,2022-11-18
94707,635,2022-11-29
332373,636,2022-06-24
855634,637,2022-08-05
870690,638,2022-11-05
468887,639,2022-03-16
995025,640,2022-01-01
332172,641,2022-11-30
105957,642,2022-07-17
691599,643,2022-02-26
463692,644,2022-07-08
777409,645,2022-08-17
550096,646,2022-03-15
347160,647,2022-11-22
611714,648,2022-01-15
935630,649,2022-03-22
873613,650,2022-05-15
371312,651,2022-09-01
565883,652,2022-03-19
118804,653,2022-06-25
90387,654,2022-09-16
978198,655,2022-10-24
276625,656,2022-10-28
649145,657,2022-11-09
210089,658,2022-01-21
391375,659,2022-03-05
993741,660,2022-07-10
90327,661,2022-04-19
922386,662,2022-09-14
993487,663,2022-09-08
442497,664,2022-01-21
954300,665,2022-09-15
938466,666,2022-08-22
973467,667,2022-03-25
503131,668,2022-04-19
499527,669,2022-06-06
628483,670,2022-01-16
175588,671,2022-08-13
807217,672,2022-07-18
813977,673,2022-10-05
918306,674,2022-05-16
146804,675,2022-08-23
450438,676,2022-01-11
464387,677,2022-07-26
716126,678,2022-12-20
634230,679,2022-06-21
715326,680,2022-04-18
233451,681,2022-04-22
320140,682,2022-09-18
998677,683,2022-10-21
537266,684,2022-01-26
867591,685,2022-05-21
288961,686,2022-06-19
231986,687,2022-06-23
595495,688,2022-06-28
840327,689,2022-09-10
96355,690,2022-01-21
812014,691,2022-09-27
637734,692,2022-07-11
602397,693,2022-07-03
275214,694,2022-02-30
570052,695,2022-05-03
398677,696,2022-08-29
468583,697,2022-09-04
291208,698,2022-09-10
240130,699,2022-01-24
712140,700,2022-10-10
426327,701,2022-03-07
406800,702,2022-11-25
903272,703,2022-10-22
337296,704,2022-06-18
358894,705,2022-02-29
556164,706,2022-11-24
89160,707,2022-03-13
441873,708,2022-08-24
489477,709,2022-08-05
107913,710,2022-06-14
65064,711,2022-01-11
360664,712,2022-01-02
971998,713,2022-12-19
313706,714,2022-09-11
100085,715,2022-09-27
697732,716,2022-05-01
661830,717,2022-11-30
183990,718,2022-07-16
375167,719,2022-08-02
936511,720,2022-04-19
730449,721,2022-12-24
482175,722,2022-11-17
612144,723,2022-05-18
286389,724,2022-08-29
248644,725,2022-04-06
195623,726,2022-10-20
669737,727,2022-05-17
70799,728,2022-10-22
255347,729,2022-11-17
74128,730,2022-06-13
718404,731,2022-05-25
890260,732,2022-09-08
413036,733,2022-09-04
130078,734,2022-07-04
12249,735,2022-01-28
166054,736,2022-09-13
901672,737,2022-12-21
985288,738,2022-05-14
569012,739,2022-03-13
854609,740,2022-01-28
336446,741,2022-06-18
409224,742,2022-08-08
451497,743,2022-06-26
307907,744,2022-11-27
545386,745,2022-10-20
355569,746,2022-07-15
213429,747,2022-09-20
637366,748,2022-04-28
356193,749,2022-06-07
292798,750,2022-11-07
479898,751,2022-02-27
474755,752,2022-07-04
108160,753,2022-08-11
919144,754,2022-10-30
136268,755,2022-07-16
569637,756,2022-11-14
488277,757,2022-05-15
917043,758,2022-02-13
346708,759,2022-06-29
776723,760,2022-08-21
949622,761,2022-08-05
841258,762,2022-03-09
588202,763,2022-07-16
408952,764,2022-06-14
101571,765,2022-09-20
891212,766,2022-06-14
895786,767,2022-03-24
262686,768,2022-08-04
785844,769,2022-07-15
547075,770,2022-10-21
399552,771,2022-07-08
599289,772,2022-04-06
865797,773,2022-12-06
908930,774,2022-10-29
128489,775,2022-06-23
470748,776,2022-02-26
263638,777,2022-07-19
480678,778,2022-06-18
190141,779,2022-04-26
580191,780,2022-03-17
724858,781,2022-12-21
117860,782,2022-07-22
641794,783,2022-08-30
163747,784,2022-12-02
685555,785,2022-09-03
614201,786,2022-08-27
937407,787,2022-09-05
636988,788,2022-08-24
349425,789,2022-11-18
457724,790,2022-06-02
218569,791,2022-03-13
801779,792,2022-09-08
373785,793,2022-05-05
94257,794,2022-06-26
765758,795,2022-09-17
535890,796,2022-07-14
165074,797,2022-12-17
805141,798,2022-12-14
89210,799,2022-09-20
893067,800,2022-09-20
349176,801,2022-05-01
367645,802,2022-11-03
167322,803,2022-03-10
824406,804,2022-11-12
364557,805,2022-10-29
146042,806,2022-12-19
373279,807,2022-07-01
19231,808,2022-01-06
782913,809,2022-07-20
960760,810,2022-02-30
437198,811,2022-09-02
515982,812,2022-10-11
328850,813,2022-11-14
481473,814,2022-04-04
911089,815,2022-09-12
387630,816,2022-10-22
303102,817,2022-08-06
436232,818,2022-12-28
377828,819,2022-06-30
941865,820,2022-04-09
841473,821,2022-08-02
992068,822,2022-12-13
278817,823,2022-11-10
40601,824,2022-07-11
391423,825,2022-01-24
58532,826,2022-04-30
286378,827,2022-07-11
509993,828,2022-03-04
74515,829,2022-06-15
892502,830,2022-01-13
608292,831,2022-09-09
963256,832,2022-06-05
318604,833,2022-02-26
604236,834,2022-11-25
913756,835,2022-02-11
213587,836,2022-06-25
176372,837,2022-09-19
776199,838,2022-08-29
587382,839,2022-08-22
253590,840,2022-01-10
526962,841,2022-01-24
730431,842,2022-02-10
849818,843,2022-02-22
877612,844,2022-01-09
931302,845,2022-02-07
312953,846,2022-03-30
14197,847,2022-01-22
693067,848,2022-05-03
592198,849,2022-06-21
807407,850,2022-06-28
232838,851,2022-11-11
441467,852,2022-07-24
57483,853,2022-06-21
84505,854,2022-05-05
792876,855,2022-04-25
824540,856,2022-11-11
655330,857,2022-02-30
666092,858,2022-04-22
718396,859,2022-08-24
565770,860,2022-10-17
136674,861,2022-12-06
56549,862,2022-08-16
502134,863,2022-04-08
885496,864,2022-03-20
17657,865,2022-10-07
945659,866,2022-11-27
709895,867,2022-10-06
399487,868,2022-04-13
134012,869,2022-09-18
839602,870,2022-10-07
708444,871,2022-02-21
963678,872,2022-02-02
177796,873,2022-12-23
896104,874,2022-03-27
266307,875,2022-06-21
66326,876,2022-03-08
7818,877,2022-06-14
310135,878,2022-06-02
777770,879,2022-01-07
450776,880,2022-02-20
557421,881,2022-08-29
709383,882,2022-03-05
928744,883,2022-07-20
617081,884,2022-04-10
24909,885,2022-01-16
281503,886,2022-01-24
407541,887,2022-08-19
862737,888,2022-01-23
164899,889,2022-07-15
819903,890,2022-03-20
517492,891,2022-07-06
81731,892,2022-04-18
660322,893,2022-03-19
56100,894,2022-09-14
982306,895,2022-06-12
999855,896,2022-03-13
532253,897,2022-12-01
49275,898,2022-05-20
158342,899,2022-10-20
309975,900,2022-07-20
1558,901,2022-12-24
977743,902,2022-11-23
680813,903,2022-03-19
118685,904,2022-04-18
741945,905,2022-02-06
647506,906,2022-07-26
657055,907,2022-09-23
586480,908,2022-10-17
464149,909,2022-08-08
923192,910,2022-05-11
542135,911,2022-07-25
605571,912,2022-02-27
628634,913,2022-08-24
814791,914,2022-02-17
211432,915,2022-12-05
974512,916,2022-04-06
231640,917,2022-03-09
285450,918,2022-09-16
29539,919,2022-01-29
572842,920,2022-04-14
609599,921,2022-10-28
194756,922,2022-06-30
882901,923,2022-11-04
215981,924,2022-03-27
184844,925,2022-09-12
965470,926,2022-07-02
565031,927,2022-10-04
235041,928,2022-09-04
118816,929,2022-02-12
473203,930,2022-02-07
71238,931,2022-03-06
787719,932,2022-07-05
917783,933,2022-08-04
556427,934,2022-07-17
397496,935,2022-07-01
534701,936,2022-03-05
165349,937,2022-03-01
790532,938,2022-02-07
972738,939,2022-10-04
183371,940,2022-10-10
328573,941,2022-07-17
584729,942,2022-09-03
325374,943,2022-10-07
879939,944,2022-10-04
405592,945,2022-02-15
445211,946,2022-02-17
624479,947,2022-05-21
511020,948,2022-03-05
664629,949,2022-02-23
776912,950,2022-09-17
798338,951,2022-10-19
726039,952,2022-02-13
212460,953,2022-08-11
260609,954,2022-07-06
37686,955,2022-11-01
898748,956,2022-11-27
524496,957,2022-05-03
216262,958,2022-03-01
372298,959,2022-12-24
351589,960,2022-10-15
373487,961,2022-02-07
551314,962,2022-06-12
32347,963,2022-01-23
405404,964,2022-08-19
384002,965,2022-07-09
878747,966,2022-08-01
710324,967,2022-09-06
592390,968,2022-02-14
896277,969,2022-11-07
507586,970,2022-07-21
956572,971,2022-08-07
733354,972,2022-12-02
124834,973,2022-10-07
981331,974,2022-01-20
891598,975,2022-04-26
448173,976,2022-10-20
273221,977,2022-03-10
131113,978,2022-12-24
660714,979,2022-08-29
910445,980,2022-06-25
44780,981,2022-09-01
34272,982,2022-08-13
797218,983,2022-05-25
184415,984,2022-07-26
968561,985,2022-11-29
915550,986,2022-03-19
204192,987,2022-07-19
518100,988,2022-03-05
393516,989,2022-11-18
797019,990,2022-01-29
174988,991,2022-04-02
522355,992,2022-06-22
527492,993,2022-07-25
56667,994,2022-12-16
182601,995,2022-10-14
506695,996,2022-02-04
477014,997,2022-02-15
609887,998,2022-12-29
244214,999,2022-08-27
465425,1000,2022-09-19
714905,1001,2022-09-30
69686,1002,2022-02-28
150558,1003,2022-11-24
93018,1004,2022-12-26
12778,1005,2022-04-26
240397,1006,2022-12-16
5069,1007,2022-01-27
517003,1008,2022-11-22
981439,1009,2022-07-13
136999,1010,2022-10-03
566904,1011,2022-07-10
502891,1012,2022-07-13
69466,1013,2022-01-22
963499,1014,2022-02-05
959735,1015,2022-05-04
327710,1016,2022-11-07
31432,1017,2022-08-05
935219,1018,2022-03-16
388211,1019,2022-02-02
895691,1020,2022-06-26
333512,1021,2022-03-08
258216,1022,2022-04-14
449120,1023,2022-02-17
254829,1024,2022-08-16
900246,1025,2022-05-05
736895,1026,2022-10-07
783792,1027,2022-05-16
202464,1028,2022-01-30
971241,1029,2022-12-25
948323,1030,2022-12-11
927105,1031,2022-02-21
824375,1032,2022-07-24
917775,1033,2022-11-21
207852,1034,2022-09-04
759370,1035,2022-10-27
561750,1036,2022-02-19
658408,1037,2022-06-11
574168,1038,2022-01-08
168951,1039,2022-07-04
389846,1040,2022-01-12
885056,1041,2022-05-11
773729,1042,2022-09-30
659451,1043,2022-05-12
97041,1044,2022-11-09
202322,1045,2022-01-28
738258,1046,2022-09-03
704323,1047,2022-12-24
84867,1048,2022-12-26
935012,1049,2022-06-14
886135,1050,2022-07-20
479477,1051,2022-12-28
995174,1052,2022-04-21
990246,1053,2022-09-19
154355,1054,2022-09-29
424318,1055,2022-12-01
866939,1056,2022-01-03
216411,1057,2022-09-20
974917,1058,2022-12-28
732199,1059,2022-11-03
889769,1060,2022-02-26
634786,1061,2022-04-06
948176,1062,2022-06-14
766119,1063,2022-08-21
354742,1064,2022-12-15
982781,1065,2022-08-19
825582,1066,2022-12-11
850972,1067,2022-01-23
973680,1068,2022-02-24
413030,1069,2022-07-10
400425,1070,2022-07-26
178959,1071,2022-08-11
540250,1072,2022-01-04
304287,1073,2022-03-27
347284,1074,2022-07-20
706212,1075,2022-08-02
376851,1076,2022-09-11
131488,1077,2022-04-20
742340,1078,2022-10-27
255162,1079,2022-08-10
296381,1080,2022-06-05
246742,1081,2022-06-09
72686,1082,2022-06-19
263306,1083,2022-07-07
843585,1084,2022-10-23
878158,1085,2022-12-26
162524,1086,2022-03-07
252970,1087,2022-06-13
694865,1088,2022-03-15
668048,1089,2022-06-27
219972,1090,2022-06-23
210844,1091,2022-12-05
583484,1092,2022-01-24
282681,1093,2022-10-15
305211,1094,2022-09-06
171630,1095,2022-06-28
912659,1096,2022-01-07
202426,1097,2022-06-09
693864,1098,2022-11-19
582027,1099,2022-06-17
24155,1100,2022-03-20
493868,1101,2022-05-19
51497,1102,2022-02-24
85013,1103,2022-05-14
262707,1104,2022-02-10
666881,1105,2022-09-12
398311,1106,2022-02-14
520013,1107,2022-10-23
274740,1108,2022-09-28
105429,1109,2022-05-15
808639,1110,2022-07-06
413668,1111,2022-04-22
278788,1112,2022-09-19
249388,1113,2022-07-12
800752,1114,2022-02-08
524636,1115,2022-05-06
561706,1116,2022-12-25
846193,1117,2022-02-16
663492,1118,2022-11-17
206879,1119,2022-03-08
856490,1120,2022-07-25
716263,1121,2022-03-01
985602,1122,2022-03-02
603257,1123,2022-05-16
128202,1124,2022-11-06
507490,1125,2022-05-25
327422,1126,2022-08-30
534038,1127,2022-08-12
472232,1128,2022-09-12
179283,1129,2022-02-25
79547,1130,2022-05-14
112396,1131,2022-01-09
259809,1132,2022-04-14
5938,1133,2022-09-18
848823,1134,2022-01-21
657552,1135,2022-04-02
524332,1136,2022-08-20
348035,1137,2022-12-26
687958,1138,2022-07-04
146534,1139,2022-06-17
349490,1140,2022-03-16
38961,1141,2022-07-02
558743,1142,2022-11-26
695665,1143,2022-04-14
200127,1144,2022-12-24
762652,1145,2022-09-03
663068,1146,2022-10-27
764889,1147,2022-12-12
56584,1148,2022-02-30
514588,1149,2022-05-14
119914,1150,2022-06-24
851671,1151,2022-10-07
