bid,uid,buy_date
8396,451379,2022-09-26
56091,793138,2022-09-04
96293,867238,2022-07-27
46745,461254,2022-03-03
10362,185031,2022-08-10
27432,780024,2022-10-13
48051,394214,2022-12-10
27242,905198,2022-08-27
29536,981103,2022-04-16
17076,953960,2022-10-12
32500,870226,2022-05-18
15107,935297,2022-09-03
2426,764063,2022-01-17
65566,995049,2022-06-24
87732,868289,2022-07-15
37153,317712,2022-07-22
25209,20260,2022-08-28
9247,270689,2022-03-21
96365,142530,2022-10-16
2218,14963,2022-05-03
9296,110807,2022-09-03
20769,345346,2022-09-15
98288,709082,2022-01-04
22365,945111,2022-04-15
6315,626755,2022-09-25
43263,957140,2022-05-13
40156,332224,2022-09-21
12509,332840,2022-02-24
97344,399097,2022-06-14
37658,112261,2022-03-16
11725,509926,2022-05-04
72999,556946,2022-04-26
71214,260354,2022-05-02
19907,462061,2022-03-06
3800,607163,2022-01-05
69001,41334,2022-05-24
67098,555444,2022-07-03
93257,707173,2022-01-30
30409,432226,2022-09-11
93870,547233,2022-06-21
59771,156059,2022-11-03
3267,113684,2022-09-04
42084,667131,2022-01-08
41452,290223,2022-04-10
19998,874342,2022-09-07
389,219485,2022-07-15
23686,446448,2022-03-21
92290,793083,2022-12-17
63415,595108,2022-04-29
77670,199147,2022-04-13
15869,181004,2022-08-01
80595,700518,2022-09-03
65586,808062,2022-02-18
75280,519956,2022-06-16
81206,760026,2022-01-13
16356,116030,2022-09-16
98707,93186,2022-04-17
35358,597054,2022-08-04
61911,661640,2022-02-15
19344,87776,2022-05-12
54196,870002,2022-05-01
98694,255302,2022-09-09
28933,538555,2022-09-20
26055,120655,2022-05-02
82508,102669,2022-04-02
12486,105610,2022-02-25
49971,767305,2022-11-25
46524,339070,2022-04-15
16586,343139,2022-08-11
34302,715062,2022-06-28
58209,724797,2022-02-16
46933,419855,2022-11-04
99191,552220,2022-09-07
21982,696166,2022-10-21
74644,499467,2022-04-11
70348,109133,2022-12-15
75585,898108,2022-09-22
1816,254923,2022-05-19
58036,908270,2022-01-21
91661,101005,2022-11-03
82174,526567,2022-08-09
95460,634781,2022-12-05
39229,572360,2022-09-20
50105,248784,2022-07-24
68233,582416,2022-04-13
25788,452216,2022-03-18
60499,233675,2022-02-27
70131,49361,2022-07-07
94610,811477,2022-06-09
8916,734299,2022-11-02
35729,192246,2022-06-05
49654,980266,2022-03-02
40122,364787,2022-04-01
19993,824847,2022-01-23
84167,252249,2022-12-05
16828,501982,2022-02-05
14350,662227,2022-10-17
49501,562554,2022-12-23
48261,141983,2022-02-10
12383,522703,2022-07-20
89023,761921,2022-11-29
88630,959989,2022-07-21
51675,873498,2022-01-18
23665,476056,2022-02-30
36063,857418,2022-09-23
8196,395864,2022-05-17
48820,82544,2022-08-28
50962,921761,2022-05-28
52664,471224,2022-04-17
24884,930756,2022-07-08
99605,858002,2022-04-01
46177,349146,2022-06-22
13220,306589,2022-04-20
46672,531591,2022-06-20
47840,358048,2022-05-13
93617,876924,2022-02-27
52950,678518,2022-08-22
6931,742780,2022-09-03
26949,569639,2022-02-25
38446,526254,2022-05-19
82797,21965,2022-04-24
57323,199445,2022-05-05
23858,83062,2022-10-02
5883,561061,2022-10-26
48886,417319,2022-07-08
38148,269286,2022-04-18
1731,284630,2022-11-03
75000,499388,2022-09-23
49101,706776,2022-07-06
85508,634445,2022-06-30
3008,116010,2022-07-20
77852,908034,2022-02-28
63300,855754,2022-05-09
97502,661272,2022-11-25
49464,217137,2022-05-23
42622,635465,2022-09-24
97486,431192,2022-08-17
8550,863056,2022-08-17
48240,85754,2022-07-08
14823,939996,2022-04-21
19576,782562,2022-12-18
34196,696931,2022-12-25
54686,747622,2022-12-09
68181,521781,2022-09-26
39316,155638,2022-05-06
77935,655558,2022-10-19
75813,274977,2022-06-13
79315,910911,2022-02-08
15238,104907,2022-02-06
78747,466398,2022-02-01
29022,632130,2022-06-12
55926,348676,2022-05-03
17759,343949,2022-08-24
47542,241118,2022-10-23
42975,506422,2022-06-02
91490,473089,2022-11-16
63247,245619,2022-12-27
24334,322560,2022-02-18
66326,790223,2022-04-11
63014,758007,2022-01-26
21739,540144,2022-02-24
84962,418791,2022-01-10
69742,491855,2022-12-25
92361,365589,2022-10-13
32156,394859,2022-02-28
33579,898482,2022-09-18
61444,791201,2022-06-05
82716,95030,2022-03-14
10013,338856,2022-04-14
73459,388904,2022-06-14
60922,902811,2022-05-07
97432,45501,2022-12-22
84834,280575,2022-08-16
23845,704527,2022-10-14
67993,491919,2022-10-18
13271,232114,2022-11-15
9680,295197,2022-04-20
72284,246606,2022-04-18
17196,833300,2022-05-21
55042,400871,2022-11-20
83133,16215,2022-02-09
6031,952364,2022-03-07
33825,234737,2022-07-16
84812,588829,2022-09-08
29875,601473,2022-08-21
57721,816899,2022-02-29
97665,193285,2022-10-24
12116,332510,2022-10-20
69633,808054,2022-07-26
70141,755996,2022-06-01
43834,202183,2022-11-07
32639,937114,2022-01-04
19868,283949,2022-10-28
38773,689528,2022-03-25
6963,987911,2022-06-18
75913,663689,2022-10-13
64122,625779,2022-09-08
20159,375851,2022-12-02
85796,328165,2022-03-02
24229,551995,2022-04-17
88900,577173,2022-02-02
90891,513092,2022-12-10
57671,613129,2022-11-18
41743,185569,2022-12-22
89276,369201,2022-08-03
50291,910943,2022-12-22
71847,342985,2022-01-29
80751,573369,2022-02-17
87267,602244,2022-01-03
28743,753664,2022-06-10
6247,665896,2022-01-26
5616,206599,2022-08-21
32479,574424,2022-06-09
86147,992179,2022-01-16
5500,554529,2022-07-03
14248,618735,2022-08-14
27281,390441,2022-04-03
44175,458095,2022-05-17
65084,780313,2022-08-29
84715,755734,2022-04-01
37438,723466,2022-07-19
84960,186169,2022-02-30
1588,69038,2022-01-05
25640,761053,2022-07-25
7564,127850,2022-02-06
92878,592680,2022-10-05
59694,469044,2022-01-01
25334,839876,2022-07-16
77819,860060,2022-09-23
43781,978164,2022-08-28
15629,894269,2022-04-14
43144,633717,2022-01-20
45932,663207,2022-03-18
28424,35238,2022-01-29
58403,827473,2022-04-02
88881,570084,2022-05-25
83545,759628,2022-11-20
10764,113157,2022-10-18
96513,928164,2022-03-13
22157,201336,2022-07-28
43668,371559,2022-02-22
96744,47,2022-05-10
56869,996711,2022-07-07
31393,215090,2022-05-11
60833,258605,2022-12-12
56691,969852,2022-06-17
72953,842800,2022-07-01
63551,62690,2022-01-22
33239,613979,2022-09-03
20749,307821,2022-01-22
31089,410302,2022-10-26
20965,466440,2022-03-23
18120,755662,2022-05-30
42605,612941,2022-03-30
69203,192734,2022-08-10
10735,938030,2022-05-04
87733,963688,2022-09-15
29935,942290,2022-09-14
57740,153665,2022-05-09
17747,961298,2022-09-24
28684,636700,2022-03-24
73984,942286,2022-02-10
5509,174747,2022-01-19
27728,187543,2022-06-20
11383,6991,2022-10-22
54742,308447,2022-09-01
24572,55035,2022-05-30
41802,466830,2022-02-24
10360,393850,2022-06-25
59834,673739,2022-05-24
60983,702939,2022-07-07
43213,224551,2022-12-13
82083,627308,2022-03-03
88210,620654,2022-04-25
815,240679,2022-09-30
10587,965788,2022-05-28
31827,306771,2022-07-22
54894,45306,2022-12-01
26662,60623,2022-10-18
34696,18362,2022-02-11
66877,766649,2022-05-25
80454,45469,2022-08-07
23012,963023,2022-06-15
42074,492898,2022-01-26
74426,704919,2022-09-21
96710,696653,2022-08-14
39434,267788,2022-07-27
53886,873513,2022-03-04
46063,140772,2022-05-07
51117,662661,2022-02-02
26111,541515,2022-07-09
54744,43513,2022-08-18
70277,41752,2022-01-16
98035,488872,2022-02-17
76397,471701,2022-01-19
10638,106877,2022-12-09
48797,358525,2022-06-01
32660,397307,2022-04-18
30360,273735,2022-02-24
21828,120059,2022-05-24
21219,334343,2022-10-26
67389,617642,2022-03-15
57066,546527,2022-01-11
7106,398512,2022-07-18
98424,290627,2022-04-12
6882,629789,2022-01-07
1130,559723,2022-10-18
1381,862076,2022-06-30
29220,234870,2022-03-14
72093,262628,2022-12-22
16677,335746,2022-02-07
39436,959591,2022-06-21
70657,810533,2022-07-21
98002,572024,2022-11-16
78616,797064,2022-06-04
44467,763179,2022-10-06
75449,787334,2022-11-13
32690,595233,2022-08-23
48679,679780,2022-07-15
35695,996500,2022-02-08
81501,34154,2022-03-29
87454,943624,2022-07-16
35184,256139,2022-10-13
71021,520328,2022-10-30
5761,465403,2022-02-23
88963,103443,2022-05-10
9789,578641,2022-12-24
22438,717,2022-05-16
47078,379848,2022-11-10
53792,113913,2022-11-19
49921,982596,2022-03-25
6894,219709,2022-05-06
23116,180758,2022-03-08
78737,351915,2022-10-11
97382,953324,2022-11-15
91309,200072,2022-07-25
2894,692086,2022-11-08
67233,670091,2022-12-29
30182,725808,2022-01-04
64638,90667,2022-02-18
96866,326276,2022-03-24
40020,151363,2022-06-17
62935,732699,2022-03-05
98235,216496,2022-12-09
13729,408916,2022-02-26
59469,824444,2022-10-07
20806,819020,2022-08-18
71907,515672,2022-01-19
4327,831214,2022-06-12
42428,611505,2022-11-12
87574,97086,2022-08-08
87770,985039,2022-08-08
42576,166084,2022-03-13
60609,173525,2022-10-22
14588,457817,2022-09-11
69997,731620,2022-04-26
94906,332683,2022-10-11
9792,580610,2022-03-05
60894,451929,2022-11-13
21630,526283,2022-06-11
43396,427318,2022-08-13
94498,465086,2022-11-17
49831,271501,2022-04-26
19654,29320,2022-10-16
26773,147533,2022-04-27
49616,392838,2022-10-25
44473,205266,2022-01-19
80809,448830,2022-11-27
90687,133278,2022-10-05
70971,753757,2022-01-23
24919,455394,2022-10-05
64410,333816,2022-03-19
30090,642130,2022-06-25
85626,171805,2022-03-10
65261,826070,2022-07-05
30345,643229,2022-05-05
23533,720837,2022-09-21
51296,810183,2022-01-10
21781,764223,2022-06-11
14772,167261,2022-04-15
2290,51487,2022-03-20
22696,170464,2022-04-23
35464,184867,2022-02-05
42508,948617,2022-09-27
63027,210556,2022-10-06
55488,701039,2022-01-04
16240,539116,2022-09-05
9570,807623,2022-02-04
55666,2663,2022-05-09
30645,995692,2022-11-03
61840,38998,2022-10-06
36376,634512,2022-01-09
98045,763963,2022-02-03
6679,329132,2022-03-19
96861,929022,2022-07-09
75463,948227,2022-03-29
78053,731268,2022-02-23
64442,607903,2022-03-01
66500,724116,2022-12-13
19296,303574,2022-05-09
5474,682802,2022-04-14
81613,792539,2022-03-17
25471,731884,2022-10-26
39071,894863,2022-01-28
3596,86073,2022-06-10
87706,575919,2022-04-09
9,815339,2022-02-08
45741,938710,2022-05-11
10174,16073,2022-12-02
405,232,2022-12-02
49383,660464,2022-06-26
18641,532156,2022-10-23
35941,633138,2022-11-10
41451,215216,2022-10-24
39159,18834,2022-07-10
2703,750221,2022-04-19
88571,928903,2022-08-27
66912,275170,2022-03-26
57461,408045,2022-03-16
62702,240575,2022-11-01
17083,676182,2022-02-21
18760,947258,2022-03-04
64457,268006,2022-04-15
16536,272120,2022-09-15
7061,807696,2022-08-10
32831,195082,2022-07-22
96714,268881,2022-07-21
79044,492046,2022-11-29
16092,636484,2022-12-18
47288,514712,2022-04-01
52708,640707,2022-07-27
45035,12752,2022-08-06
48512,497628,2022-12-09
7510,833471,2022-01-02
73755,326928,2022-01-02
12204,953494,2022-04-09
40751,962272,2022-03-03
89077,144634,2022-06-12
29586,493664,2022-06-29
25199,535016,2022-12-09
57808,557505,2022-03-23
50070,797077,2022-01-11
83716,916473,2022-01-03
48505,191851,2022-05-06
4071,807642,2022-12-16
31883,773720,2022-08-13
47569,437021,2022-04-15
27536,452083,2022-08-22
10568,901985,2022-08-20
85060,289137,2022-01-09
49630,723762,2022-05-17
28602,698685,2022-05-02
32418,353781,2022-04-17
22062,471393,2022-08-13
64175,388698,2022-03-28
38215,593608,2022-07-10
22306,385302,2022-03-01
48904,590018,2022-04-07
26878,350750,2022-05-18
86891,793303,2022-10-29
93862,141144,2022-04-30
95507,323920,2022-05-12
68386,136815,2022-11-27
70305,189221,2022-01-30
57353,213742,2022-11-06
42988,62511,2022-05-24
1763,759444,2022-05-29
29625,881717,2022-08-06
21619,739967,2022-11-06
84414,190034,2022-12-06
48597,116295,2022-09-27
71873,928709,2022-02-14
12832,310613,2022-01-27
84005,711575,2022-12-14
90027,197552,2022-10-10
45523,114534,2022-02-09
95786,922462,2022-11-23
75131,501846,2022-08-11
30150,315092,2022-11-10
61190,177703,2022-02-02
4563,521958,2022-12-07
99846,936829,2022-04-18
65882,598900,2022-11-11
81794,36808,2022-05-06
22230,13268,2022-02-04
18914,440752,2022-02-18
82795,948158,2022-02-27
41862,68876,2022-01-25
90791,433179,2022-08-10
8883,36554,2022-06-09
81651,591564,2022-12-10
69292,904141,2022-06-04
59621,672219,2022-05-21
85646,724147,2022-06-17
56903,863056,2022-02-23
5657,859020,2022-01-21
50382,711810,2022-06-24
49691,366795,2022-12-04
42181,177298,2022-10-21
46247,920731,2022-01-21
91321,392132,2022-05-30
8072,331488,2022-02-08
29266,80864,2022-01-25
5522,629820,2022-10-09
97817,712763,2022-08-28
71367,777609,2022-05-23
38149,502716,2022-07-26
92829,98754,2022-05-02
2741,818636,2022-11-27
7991,478451,2022-06-01
64633,267902,2022-01-24
53585,983788,2022-01-29
91885,4219,2022-02-30
8499,668207,2022-03-30
50084,507135,2022-06-16
49192,471053,2022-05-26
60835,564089,2022-01-02
83722,939380,2022-09-24
66529,363814,2022-11-27
73072,728792,2022-05-20
76416,638830,2022-07-14
27634,838633,2022-01-26
6421,121727,2022-02-23
19222,14709,2022-07-14
26584,202957,2022-11-02
4800,217116,2022-02-07
82707,124945,2022-01-25
15489,263239,2022-01-01
87131,313743,2022-05-29
3032,959170,2022-11-28
71192,387889,2022-02-10
35333,591572,2022-11-03
70598,263355,2022-05-07
88727,70756,2022-03-29
58849,61911,2022-11-03
1401,343878,2022-08-18
62620,756872,2022-04-24
30195,912185,2022-11-21
99093,374536,2022-10-30
25314,513185,2022-03-06
94066,676924,2022-03-15
33139,206160,2022-07-04
23777,700943,2022-04-27
3684,152026,2022-09-09
9222,239192,2022-07-24
28366,867925,2022-10-13
55988,790778,2022-03-30
36641,152798,2022-03-24
28391,186903,2022-12-10
40016,364722,2022-07-26
75995,675672,2022-10-30
64336,37447,2022-07-29
91106,316976,2022-02-08
76177,162047,2022-07-24
44943,113981,2022-04-12
50985,816852,2022-08-15
2671,482731,2022-01-20
56892,337414,2022-09-23
49930,365926,2022-05-28
51463,771073,2022-05-28
16885,610510,2022-01-07
49338,779802,2022-08-23
56110,829735,2022-05-06
1618,640145,2022-08-25
1713,597850,2022-03-09
47820,151523,2022-06-16
58134,689755,2022-01-02
70824,832953,2022-11-23
66768,677168,2022-12-15
53672,955932,2022-01-02
98449,364170,2022-03-11
11255,511415,2022-01-24
77958,222484,2022-12-08
22376,115748,2022-03-11
76523,594468,2022-06-06
41264,971879,2022-09-22
67474,200329,2022-12-15
56751,36587,2022-01-09
39859,584437,2022-10-23
76187,370731,2022-03-01
89964,378802,2022-08-08
38528,525014,2022-01-01
48267,198910,2022-06-22
57047,485232,2022-10-20
87212,7403,2022-02-03
7592,550597,2022-06-26
96534,695013,2022-10-09
62335,908530,2022-05-27
40872,173732,2022-09-24
52548,472970,2022-08-10
64023,846145,2022-06-03
31416,190157,2022-11-02
27837,132924,2022-10-26
96838,736714,2022-02-06
54688,230477,2022-05-11
2921,920808,2022-09-26
75298,34592,2022-02-20
38171,754658,2022-09-05
92547,221393,2022-11-25
83000,726375,2022-09-23
73376,449091,2022-02-26
65095,289691,2022-08-27
62890,932363,2022-04-30
29368,664250,2022-09-13
41064,794328,2022-06-15
74180,107386,2022-01-25
44145,343491,2022-05-09
54739,388547,2022-04-13
93338,71225,2022-06-27
89413,925772,2022-04-17
46298,520378,2022-03-12
70850,89549,2022-03-23
40899,940626,2022-11-21
38744,686358,2022-09-13
88324,858637,2022-04-12
16581,96161,2022-11-22
13320,158135,2022-01-04
91969,692149,2022-04-27
58376,274473,2022-01-05
44929,936222,2022-10-09
90262,865715,2022-05-07
84044,495413,2022-01-17
39179,17829,2022-08-19
27371,339190,2022-12-24
75321,17936,2022-08-12
35711,243199,2022-11-19
21303,463020,2022-04-17
4749,819525,2022-08-30
28727,553109,2022-12-29
61458,105100,2022-10-14
89525,528046,2022-11-22
71956,95960,2022-06-14
87338,96445,2022-07-16
77848,641890,2022-01-23
9726,957039,2022-03-05
39963,188173,2022-09-27
56117,158703,2022-12-22
29891,895045,2022-05-26
12543,346489,2022-10-21
14349,132441,2022-03-03
19318,207686,2022-11-28
51974,220301,2022-12-04
23241,512523,2022-12-19
83293,961152,2022-07-23
3543,987031,2022-04-16
54938,15426,2022-08-02
94559,821866,2022-05-19
4006,906639,2022-09-23
48870,811532,2022-11-03
77398,508872,2022-12-12
67745,552912,2022-05-14
28886,64759,2022-06-21
75408,658208,2022-02-21
5271,933298,2022-11-24
26068,960535,2022-12-09
11297,57881,2022-01-23
61421,272621,2022-04-13
31478,414524,2022-08-24
44910,310728,2022-09-17
41118,911051,2022-10-26
18893,467350,2022-11-22
65078,314706,2022-12-30
33410,943264,2022-11-25
20702,793157,2022-09-18
97856,515370,2022-01-28
10420,118057,2022-05-06
97642,931861,2022-07-09
79709,907233,2022-01-15
32177,101758,2022-11-16
76146,286914,2022-12-17
98492,557420,2022-12-16
96393,115825,2022-12-30
63688,639076,2022-05-10
1986,749332,2022-08-18
5895,87698,2022-12-24
62328,834888,2022-09-25
56644,491491,2022-07-08
65511,771966,2022-01-02
76809,770586,2022-06-11
83539,685471,2022-11-23
69915,444492,2022-09-11
70156,148517,2022-08-29
28741,129761,2022-03-20
30537,649080,2022-06-01
93606,336454,2022-12-16
185,762414,2022-11-06
41763,36899,2022-11-17
34007,401188,2022-07-29
43183,176748,2022-06-10
57564,730081,2022-10-28
59111,425945,2022-02-18
8792,598134,2022-11-12
38739,555793,2022-03-07
81986,373386,2022-03-06
33200,307211,2022-11-09
64713,714947,2022-09-19
4933,139334,2022-05-21
50374,737371,2022-03-13
52141,177393,2022-10-06
9237,572408,2022-10-25
76138,663358,2022-02-30
43655,75078,2022-08-16
97466,554063,2022-05-11
59650,239984,2022-03-18
11590,454056,2022-09-02
16655,240786,2022-04-30
2568,269169,2022-12-18
91733,832175,2022-05-04
93148,790890,2022-06-22
64325,757478,2022-11-20
23566,272232,2022-04-13
48180,441175,2022-11-25
1151,361090,2022-06-19
78119,446992,2022-02-01
46332,862887,2022-04-03
90757,193576,2022-02-17
90702,791896,2022-10-23
52122,800055,2022-12-20
64948,667731,2022-11-04
69480,305744,2022-01-09
79643,929606,2022-07-20
65766,754792,2022-09-04
53262,553616,2022-02-21
91138,268506,2022-06-19
78039,237640,2022-06-06
74247,437343,2022-03-15
19402,300212,2022-12-09
46640,166246,2022-10-08
73828,265165,2022-05-16
39330,266867,2022-12-25
39872,85474,2022-08-10
75293,940214,2022-11-20
17791,286905,2022-10-29
74396,513886,2022-11-29
8917,192106,2022-12-16
4593,369773,2022-09-18
40309,269713,2022-08-02
84526,596174,2022-01-14
40060,503740,2022-11-19
73277,675935,2022-07-14
14322,240448,2022-05-01
9471,773581,2022-08-28
58000,878183,2022-02-29
24706,509192,2022-10-02
57012,122072,2022-09-17
39508,78261,2022-05-29
33513,206985,2022-05-17
18241,637580,2022-01-16
71025,460086,2022-11-17
40442,962610,2022-01-05
62230,980447,2022-05-12
25448,481675,2022-03-05
52806,983254,2022-10-30
78665,696816,2022-08-14
93164,856164,2022-07-11
37270,781315,2022-09-08
58359,718507,2022-04-14
1633,618972,2022-09-27
8684,56603,2022-10-30
35542,624954,2022-12-19
6121,304619,2022-07-15
56605,121447,2022-02-26
81697,71201,2022-07-30
3763,757660,2022-12-08
44865,236433,2022-02-17
62137,420188,2022-06-10
15070,887508,2022-11-30
85817,400863,2022-11-04
1465,667212,2022-12-05
51646,433486,2022-01-22
52180,416760,2022-02-25
54420,535332,2022-04-19
46302,996179,2022-12-29
88508,305094,2022-07-12
63091,963152,2022-06-27
94094,131345,2022-04-02
71407,979577,2022-03-02
95385,973649,2022-01-17
49113,759113,2022-05-30
8409,177296,2022-09-03
73670,332619,2022-08-09
95247,133461,2022-11-29
4465,805717,2022-11-12
14970,543344,2022-11-06
31672,679413,2022-01-13
4191,405169,2022-06-29
40115,628475,2022-11-12
2972,62944,2022-07-06
59233,66075,2022-11-16
44923,154979,2022-04-02
51801,850097,2022-09-29
89803,783085,2022-07-20
70843,740331,2022-12-07
38968,949031,2022-03-23
64949,834658,2022-06-01
11304,473405,2022-07-11
15548,607960,2022-12-03
91268,989515,2022-05-08
69668,235635,2022-02-22
14021,844176,2022-02-08
22404,303725,2022-07-22
36166,821674,2022-11-15
83123,560000,2022-07-03
74346,498231,2022-06-29
24922,84346,2022-07-19
14037,259156,2022-10-28
13312,588803,2022-09-19
38827,552956,2022-12-09
17364,143982,2022-10-16
68023,880707,2022-06-29
62716,530896,2022-09-22
93537,606291,2022-06-14
3539,945345,2022-02-24
62389,744140,2022-09-18
93830,15716,2022-08-06
44524,61230,2022-11-25
41452,552012,2022-03-18
84595,126411,2022-04-24
80238,639962,2022-07-24
55667,855274,2022-03-09
10172,493835,2022-02-07
43962,551791,2022-12-06
79246,218434,2022-09-02
80277,900388,2022-02-04
8546,461988,2022-01-26
94634,485358,2022-07-04
53877,467701,2022-02-12
59880,860000,2022-08-11
84449,382421,2022-04-25
23845,15792,2022-07-06
41189,715686,2022-04-21
72037,421830,2022-08-07
44550,618644,2022-06-07
26774,67116,2022-06-12
20754,859733,2022-01-11
71451,610240,2022-08-25
4788,293155,2022-01-22
45796,235397,2022-12-27
46228,158526,2022-12-17
55782,522243,2022-07-20
38940,350690,2022-05-05
15757,700347,2022-02-18
72222,968055,2022-04-07
79968,714755,2022-08-07
84514,254176,2022-07-17
74056,758477,2022-11-25
34373,688136,2022-06-27
94182,667509,2022-09-10
47905,47830,2022-12-11
21573,822788,2022-12-29
21,551529,2022-02-18
40748,968777,2022-11-21
80491,499808,2022-01-13
1108,139267,2022-02-08
12261,328339,2022-02-17
44898,266433,2022-08-18
12822,623550,2022-09-13
91013,611286,2022-04-19
6525,877666,2022-09-02
65414,240654,2022-03-27
21851,932660,2022-03-01
66068,431551,2022-01-21
76505,884983,2022-07-16
735,931319,2022-09-12
8693,574526,2022-04-12
35200,15254,2022-09-13
29392,727707,2022-01-27
5712,209821,2022-07-21
71731,754159,2022-04-10
95494,126892,2022-02-22
2564,589565,2022-07-20
30299,110555,2022-05-01
48521,810830,2022-10-04
82387,883953,2022-09-14
25958,294439,2022-06-09
49292,884241,2022-06-12
19280,855251,2022-11-14
86125,90577,2022-01-07
19781,613309,2022-03-13
94367,844500,2022-11-30
34574,997380,2022-03-07
23669,103314,2022-11-16
45099,115103,2022-06-14
26075,652381,2022-06-15
42684,465196,2022-05-20
46271,405795,2022-02-24
64000,169449,2022-12-19
80019,365488,2022-07-19
40849,756643,2022-07-30
78893,148481,2022-09-22
26849,413268,2022-11-23
3753,537894,2022-10-10
13455,521710,2022-06-24
61514,152005,2022-08-27
12967,650636,2022-06-14
33818,715051,2022-04-06
53740,157265,2022-05-12
94252,816985,2022-10-23
97426,102910,2022-03-16
36618,826097,2022-03-07
7303,441058,2022-03-13
58214,835604,2022-05-03
56215,862493,2022-04-20
78995,53986,2022-05-14
10499,858458,2022-04-17
38456,753455,2022-07-26
85342,776421,2022-04-14
21460,726632,2022-03-26
81190,995605,2022-08-04
80488,812869,2022-01-14
6075,361290,2022-11-04
44065,726358,2022-01-02
70574,541124,2022-01-06
41010,105168,2022-11-01
94010,612578,2022-09-19
16630,222146,2022-03-17
80499,930945,2022-01-24
46942,553004,2022-01-11
76311,893338,2022-12-11
81735,216282,2022-09-08
81644,370846,2022-07-13
7734,618357,2022-12-04
64693,710996,2022-10-18
67657,883414,2022-07-16
31197,303755,2022-09-25
52526,157821,2022-11-28
16508,880695,2022-09-04
25243,216499,2022-12-08
18819,608289,2022-04-14
52532,918425,2022-02-15
67146,539425,2022-03-07
19404,370101,2022-02-02
36347,622848,2022-09-13
88926,593316,2022-07-30
78863,448004,2022-10-15
81322,409343,2022-12-08
54576,476035,2022-08-15
85150,285038,2022-10-06
57273,857393,2022-10-13
54118,800641,2022-10-25
27437,734440,2022-03-18
93649,315701,2022-05-25
90653,538465,2022-12-11
53812,953609,2022-11-17
53372,253760,2022-04-22
89502,482407,2022-08-24
69394,367052,2022-05-24
76471,509862,2022-05-26
59904,696920,2022-06-11
55634,126369,2022-11-02
19965,665044,2022-05-20
24540,14399,2022-04-29
64682,41540,2022-03-30
34093,487719,2022-12-07
65279,460655,2022-08-03
84458,372480,2022-06-17
38025,661237,2022-05-17
